"Statistic","Year","County","School Programme","UNIT","VALUE"
"Pupils in National Schools","2009","Westmeath","All mainstream national school programmes","Number","10036"
"Pupils in National Schools","2009","Westmeath","Pupils with special needs in mainstream national schools","Number","302"
"Pupils in National Schools","2009","Westmeath","Pupils in special national schools","Number","125"
"Pupils in National Schools","2009","Wexford","All first level school programmes","Number","17456"
"Pupils in National Schools","2009","Wexford","All mainstream national school programmes","Number","16740"
"Pupils in National Schools","2009","Wexford","Pupils with special needs in mainstream national schools","Number","492"
"Pupils in National Schools","2009","Wexford","Pupils in special national schools","Number","224"
"Pupils in National Schools","2009","Wicklow","All first level school programmes","Number","15169"
"Pupils in National Schools","2009","Wicklow","All mainstream national school programmes","Number","14745"
"Pupils in National Schools","2009","Wicklow","Pupils with special needs in mainstream national schools","Number","210"
"Pupils in National Schools","2009","Wicklow","Pupils in special national schools","Number","214"
"Pupils in National Schools","2009","Clare","All first level school programmes","Number","13368"
"Pupils in National Schools","2009","Clare","All mainstream national school programmes","Number","12966"
"Pupils in National Schools","2009","Clare","Pupils with special needs in mainstream national schools","Number","282"
"Pupils in National Schools","2009","Clare","Pupils in special national schools","Number","120"
"Pupils in National Schools","2009","Cork City","All first level school programmes","Number","14290"
"Pupils in National Schools","2009","Cork City","All mainstream national school programmes","Number","13597"
"Pupils in National Schools","2009","Cork City","Pupils with special needs in mainstream national schools","Number","282"
"Pupils in National Schools","2009","Cork City","Pupils in special national schools","Number","411"
"Pupils in National Schools","2009","Cork County","All first level school programmes","Number","41674"
"Pupils in National Schools","2009","Cork County","All mainstream national school programmes","Number","40969"
"Pupils in National Schools","2009","Cork County","Pupils with special needs in mainstream national schools","Number","428"
"Pupils in National Schools","2009","Cork County","Pupils in special national schools","Number","277"
"Pupils in National Schools","2009","Kerry","All first level school programmes","Number","15744"
"Pupils in National Schools","2009","Kerry","All mainstream national school programmes","Number","15239"
"Pupils in National Schools","2009","Kerry","Pupils with special needs in mainstream national schools","Number","336"
"Pupils in National Schools","2009","Kerry","Pupils in special national schools","Number","169"
"Pupils in National Schools","2009","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","2009","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","2009","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2009","Limerick","Pupils in special national schools","Number",""
"Pupils in National Schools","2009","Limerick City","All first level school programmes","Number","7377"
"Pupils in National Schools","2009","Limerick City","All mainstream national school programmes","Number","6951"
"Pupils in National Schools","2009","Limerick City","Pupils with special needs in mainstream national schools","Number","144"
"Pupils in National Schools","2009","Limerick City","Pupils in special national schools","Number","282"
"Pupils in National Schools","2009","Limerick County","All first level school programmes","Number","14118"
"Pupils in National Schools","2009","Limerick County","All mainstream national school programmes","Number","13661"
"Pupils in National Schools","2009","Limerick County","Pupils with special needs in mainstream national schools","Number","377"
"Pupils in National Schools","2009","Limerick County","Pupils in special national schools","Number","80"
"Pupils in National Schools","2009","Tipperary","All first level school programmes","Number","18105"
"Pupils in National Schools","2009","Tipperary","All mainstream national school programmes","Number","17512"
"Pupils in National Schools","2009","Tipperary","Pupils with special needs in mainstream national schools","Number","295"
"Pupils in National Schools","2009","Tipperary","Pupils in special national schools","Number","298"
"Pupils in National Schools","2009","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","2009","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","2009","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2009","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","2009","Waterford City","All first level school programmes","Number","6163"
"Pupils in National Schools","2009","Waterford City","All mainstream national school programmes","Number","5868"
"Pupils in National Schools","2009","Waterford City","Pupils with special needs in mainstream national schools","Number","145"
"Pupils in National Schools","2009","Waterford City","Pupils in special national schools","Number","150"
"Pupils in National Schools","2009","Waterford County","All first level school programmes","Number","7507"
"Pupils in National Schools","2009","Waterford County","All mainstream national school programmes","Number","7427"
"Pupils in National Schools","2009","Waterford County","Pupils with special needs in mainstream national schools","Number","34"
"Pupils in National Schools","2009","Waterford County","Pupils in special national schools","Number","46"
"Pupils in National Schools","2009","Galway City","All first level school programmes","Number","7022"
"Pupils in National Schools","2009","Galway City","All mainstream national school programmes","Number","6385"
"Pupils in National Schools","2009","Galway City","Pupils with special needs in mainstream national schools","Number","491"
"Pupils in National Schools","2009","Galway City","Pupils in special national schools","Number","146"
"Pupils in National Schools","2009","Galway County","All first level school programmes","Number","19926"
"Pupils in National Schools","2009","Galway County","All mainstream national school programmes","Number","19356"
"Pupils in National Schools","2009","Galway County","Pupils with special needs in mainstream national schools","Number","541"
"Pupils in National Schools","2009","Galway County","Pupils in special national schools","Number","29"
"Pupils in National Schools","2009","Leitrim","All first level school programmes","Number","3466"
"Pupils in National Schools","2009","Leitrim","All mainstream national school programmes","Number","3389"
"Pupils in National Schools","2009","Leitrim","Pupils with special needs in mainstream national schools","Number","77"
"Pupils in National Schools","2009","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","2009","Mayo","All first level school programmes","Number","14454"
"Pupils in National Schools","2009","Mayo","All mainstream national school programmes","Number","13957"
"Pupils in National Schools","2009","Mayo","Pupils with special needs in mainstream national schools","Number","401"
"Pupils in National Schools","2009","Mayo","Pupils in special national schools","Number","96"
"Pupils in National Schools","2009","Roscommon","All first level school programmes","Number","7049"
"Pupils in National Schools","2009","Roscommon","All mainstream national school programmes","Number","6900"
"Pupils in National Schools","2009","Roscommon","Pupils with special needs in mainstream national schools","Number","102"
"Pupils in National Schools","2009","Roscommon","Pupils in special national schools","Number","47"
"Pupils in National Schools","2009","Sligo","All first level school programmes","Number","7076"
"Pupils in National Schools","2009","Sligo","All mainstream national school programmes","Number","6841"
"Pupils in National Schools","2009","Sligo","Pupils with special needs in mainstream national schools","Number","146"
"Pupils in National Schools","2009","Sligo","Pupils in special national schools","Number","89"
"Pupils in National Schools","2009","Cavan","All first level school programmes","Number","9063"
"Pupils in National Schools","2009","Cavan","All mainstream national school programmes","Number","8839"
"Pupils in National Schools","2009","Cavan","Pupils with special needs in mainstream national schools","Number","121"
"Pupils in National Schools","2009","Cavan","Pupils in special national schools","Number","103"
"Pupils in National Schools","2009","Donegal","All first level school programmes","Number","18758"
"Pupils in National Schools","2009","Donegal","All mainstream national school programmes","Number","18436"
"Pupils in National Schools","2009","Donegal","Pupils with special needs in mainstream national schools","Number","228"
"Pupils in National Schools","2009","Donegal","Pupils in special national schools","Number","94"
"Pupils in National Schools","2009","Monaghan","All first level school programmes","Number","6701"
"Pupils in National Schools","2009","Monaghan","All mainstream national school programmes","Number","6586"
"Pupils in National Schools","2009","Monaghan","Pupils with special needs in mainstream national schools","Number","110"
"Pupils in National Schools","2009","Monaghan","Pupils in special national schools","Number","5"
"Pupils in National Schools","2010","All Counties","All first level school programmes","Number","505998"
"Pupils in National Schools","2010","All Counties","All mainstream national school programmes","Number","490010"
"Pupils in National Schools","2010","All Counties","Pupils with special needs in mainstream national schools","Number","9083"
"Pupils in National Schools","2010","All Counties","Pupils in special national schools","Number","6905"
"Pupils in National Schools","2010","Carlow","All first level school programmes","Number","7029"
"Pupils in National Schools","2010","Carlow","All mainstream national school programmes","Number","6763"
"Pupils in National Schools","2010","Carlow","Pupils with special needs in mainstream national schools","Number","117"
"Pupils in National Schools","2010","Carlow","Pupils in special national schools","Number","149"
"Pupils in National Schools","2010","Dublin City","All first level school programmes","Number","43404"
"Pupils in National Schools","2010","Dublin City","All mainstream national school programmes","Number","40892"
"Pupils in National Schools","2010","Dublin City","Pupils with special needs in mainstream national schools","Number","756"
"Pupils in National Schools","2010","Dublin City","Pupils in special national schools","Number","1756"
"Pupils in National Schools","2010","South Dublin","All first level school programmes","Number","30771"
"Pupils in National Schools","2010","South Dublin","All mainstream national school programmes","Number","29553"
"Pupils in National Schools","2010","South Dublin","Pupils with special needs in mainstream national schools","Number","850"
"Pupils in National Schools","2010","South Dublin","Pupils in special national schools","Number","368"
"Pupils in National Schools","2010","Fingal","All first level school programmes","Number","30667"
"Pupils in National Schools","2010","Fingal","All mainstream national school programmes","Number","30241"
"Pupils in National Schools","2010","Fingal","Pupils with special needs in mainstream national schools","Number","300"
"Pupils in National Schools","2010","Fingal","Pupils in special national schools","Number","126"
"Pupils in National Schools","2010","Dún Laoghaire-Rathdown","All first level school programmes","Number","16524"
"Pupils in National Schools","2010","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","15987"
"Pupils in National Schools","2010","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","105"
"Pupils in National Schools","2010","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","432"
"Pupils in National Schools","2010","Kildare","All first level school programmes","Number","26771"
"Pupils in National Schools","2010","Kildare","All mainstream national school programmes","Number","26279"
"Pupils in National Schools","2010","Kildare","Pupils with special needs in mainstream national schools","Number","311"
"Pupils in National Schools","2010","Kildare","Pupils in special national schools","Number","181"
"Pupils in National Schools","2010","Kilkenny","All first level school programmes","Number","10449"
"Pupils in National Schools","2010","Kilkenny","All mainstream national school programmes","Number","10180"
"Pupils in National Schools","2010","Kilkenny","Pupils with special needs in mainstream national schools","Number","70"
"Pupils in National Schools","2010","Kilkenny","Pupils in special national schools","Number","199"
"Pupils in National Schools","2010","Laois","All first level school programmes","Number","9696"
"Pupils in National Schools","2010","Laois","All mainstream national school programmes","Number","9430"
"Pupils in National Schools","2010","Laois","Pupils with special needs in mainstream national schools","Number","170"
"Pupils in National Schools","2010","Laois","Pupils in special national schools","Number","96"
"Pupils in National Schools","2010","Longford","All first level school programmes","Number","4861"
"Pupils in National Schools","2010","Longford","All mainstream national school programmes","Number","4607"
"Pupils in National Schools","2010","Longford","Pupils with special needs in mainstream national schools","Number","229"
"Pupils in National Schools","2010","Longford","Pupils in special national schools","Number","25"
"Pupils in National Schools","2010","Louth","All first level school programmes","Number","15758"
"Pupils in National Schools","2010","Louth","All mainstream national school programmes","Number","15232"
"Pupils in National Schools","2010","Louth","Pupils with special needs in mainstream national schools","Number","261"
"Pupils in National Schools","2010","Louth","Pupils in special national schools","Number","265"
"Pupils in National Schools","2010","Meath","All first level school programmes","Number","22928"
"Pupils in National Schools","2010","Meath","All mainstream national school programmes","Number","22483"
"Pupils in National Schools","2010","Meath","Pupils with special needs in mainstream national schools","Number","269"
"Pupils in National Schools","2010","Meath","Pupils in special national schools","Number","176"
"Pupils in National Schools","2010","Offaly","All first level school programmes","Number","9513"
"Pupils in National Schools","2010","Offaly","All mainstream national school programmes","Number","9269"
"Pupils in National Schools","2010","Offaly","Pupils with special needs in mainstream national schools","Number","230"
"Pupils in National Schools","2010","Offaly","Pupils in special national schools","Number","14"
"Pupils in National Schools","2010","Westmeath","All first level school programmes","Number","10635"
"Pupils in National Schools","2010","Westmeath","All mainstream national school programmes","Number","10226"
"Pupils in National Schools","2010","Westmeath","Pupils with special needs in mainstream national schools","Number","284"
"Pupils in National Schools","2010","Westmeath","Pupils in special national schools","Number","125"
"Pupils in National Schools","2010","Wexford","All first level school programmes","Number","17644"
"Pupils in National Schools","2010","Wexford","All mainstream national school programmes","Number","16912"
"Pupils in National Schools","2010","Wexford","Pupils with special needs in mainstream national schools","Number","517"
"Pupils in National Schools","2010","Wexford","Pupils in special national schools","Number","215"
"Pupils in National Schools","2010","Wicklow","All first level school programmes","Number","15507"
"Pupils in National Schools","2010","Wicklow","All mainstream national school programmes","Number","15111"
"Pupils in National Schools","2010","Wicklow","Pupils with special needs in mainstream national schools","Number","175"
"Pupils in National Schools","2010","Wicklow","Pupils in special national schools","Number","221"
"Pupils in National Schools","2010","Clare","All first level school programmes","Number","13427"
"Pupils in National Schools","2010","Clare","All mainstream national school programmes","Number","13062"
"Pupils in National Schools","2010","Clare","Pupils with special needs in mainstream national schools","Number","249"
"Pupils in National Schools","2010","Clare","Pupils in special national schools","Number","116"
"Pupils in National Schools","2010","Cork City","All first level school programmes","Number","14179"
"Pupils in National Schools","2010","Cork City","All mainstream national school programmes","Number","13492"
"Pupils in National Schools","2010","Cork City","Pupils with special needs in mainstream national schools","Number","269"
"Pupils in National Schools","2010","Cork City","Pupils in special national schools","Number","418"
"Pupils in National Schools","2010","Cork County","All first level school programmes","Number","42378"
"Pupils in National Schools","2010","Cork County","All mainstream national school programmes","Number","41678"
"Pupils in National Schools","2010","Cork County","Pupils with special needs in mainstream national schools","Number","424"
"Pupils in National Schools","2010","Cork County","Pupils in special national schools","Number","276"
"Pupils in National Schools","2010","Kerry","All first level school programmes","Number","15764"
"Pupils in National Schools","2010","Kerry","All mainstream national school programmes","Number","15253"
"Pupils in National Schools","2010","Kerry","Pupils with special needs in mainstream national schools","Number","324"
"Pupils in National Schools","2010","Kerry","Pupils in special national schools","Number","187"
"Pupils in National Schools","2010","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","2010","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","2010","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2010","Limerick","Pupils in special national schools","Number",""
"Pupils in National Schools","2010","Limerick City","All first level school programmes","Number","7187"
"Pupils in National Schools","2010","Limerick City","All mainstream national school programmes","Number","6749"
"Pupils in National Schools","2010","Limerick City","Pupils with special needs in mainstream national schools","Number","132"
"Pupils in National Schools","2010","Limerick City","Pupils in special national schools","Number","306"
"Pupils in National Schools","2010","Limerick County","All first level school programmes","Number","14305"
"Pupils in National Schools","2010","Limerick County","All mainstream national school programmes","Number","13847"
"Pupils in National Schools","2010","Limerick County","Pupils with special needs in mainstream national schools","Number","378"
"Pupils in National Schools","2010","Limerick County","Pupils in special national schools","Number","80"
"Pupils in National Schools","2010","Tipperary","All first level school programmes","Number","18280"
"Pupils in National Schools","2010","Tipperary","All mainstream national school programmes","Number","17683"
"Pupils in National Schools","2010","Tipperary","Pupils with special needs in mainstream national schools","Number","289"
"Pupils in National Schools","2010","Tipperary","Pupils in special national schools","Number","308"
"Pupils in National Schools","2010","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","2010","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","2010","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2010","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","2010","Waterford City","All first level school programmes","Number","6211"
"Pupils in National Schools","2010","Waterford City","All mainstream national school programmes","Number","5906"
"Pupils in National Schools","2010","Waterford City","Pupils with special needs in mainstream national schools","Number","158"
"Pupils in National Schools","2010","Waterford City","Pupils in special national schools","Number","147"
"Pupils in National Schools","2010","Waterford County","All first level school programmes","Number","7590"
"Pupils in National Schools","2010","Waterford County","All mainstream national school programmes","Number","7497"
"Pupils in National Schools","2010","Waterford County","Pupils with special needs in mainstream national schools","Number","44"
"Pupils in National Schools","2010","Waterford County","Pupils in special national schools","Number","49"
"Pupils in National Schools","2010","Galway City","All first level school programmes","Number","7031"
"Pupils in National Schools","2010","Galway City","All mainstream national school programmes","Number","6394"
"Pupils in National Schools","2010","Galway City","Pupils with special needs in mainstream national schools","Number","477"
"Pupils in National Schools","2010","Galway City","Pupils in special national schools","Number","160"
"Pupils in National Schools","2010","Galway County","All first level school programmes","Number","20387"
"Pupils in National Schools","2010","Galway County","All mainstream national school programmes","Number","19879"
"Pupils in National Schools","2010","Galway County","Pupils with special needs in mainstream national schools","Number","459"
"Pupils in National Schools","2010","Galway County","Pupils in special national schools","Number","49"
"Pupils in National Schools","2010","Leitrim","All first level school programmes","Number","3521"
"Pupils in National Schools","2010","Leitrim","All mainstream national school programmes","Number","3438"
"Pupils in National Schools","2010","Leitrim","Pupils with special needs in mainstream national schools","Number","83"
"Pupils in National Schools","2010","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","2010","Mayo","All first level school programmes","Number","14472"
"Pupils in National Schools","2010","Mayo","All mainstream national school programmes","Number","13948"
"Pupils in National Schools","2010","Mayo","Pupils with special needs in mainstream national schools","Number","418"
"Pupils in National Schools","2010","Mayo","Pupils in special national schools","Number","106"
"Pupils in National Schools","2010","Roscommon","All first level school programmes","Number","7066"
"Pupils in National Schools","2010","Roscommon","All mainstream national school programmes","Number","6923"
"Pupils in National Schools","2010","Roscommon","Pupils with special needs in mainstream national schools","Number","99"
"Pupils in National Schools","2010","Roscommon","Pupils in special national schools","Number","44"
"Pupils in National Schools","2010","Sligo","All first level school programmes","Number","7137"
"Pupils in National Schools","2010","Sligo","All mainstream national school programmes","Number","6904"
"Pupils in National Schools","2010","Sligo","Pupils with special needs in mainstream national schools","Number","142"
"Pupils in National Schools","2010","Sligo","Pupils in special national schools","Number","91"
"Pupils in National Schools","2010","Cavan","All first level school programmes","Number","9134"
"Pupils in National Schools","2010","Cavan","All mainstream national school programmes","Number","8873"
"Pupils in National Schools","2010","Cavan","Pupils with special needs in mainstream national schools","Number","152"
"Pupils in National Schools","2010","Cavan","Pupils in special national schools","Number","109"
"Pupils in National Schools","2010","Donegal","All first level school programmes","Number","18917"
"Pupils in National Schools","2010","Donegal","All mainstream national school programmes","Number","18579"
"Pupils in National Schools","2010","Donegal","Pupils with special needs in mainstream national schools","Number","239"
"Pupils in National Schools","2010","Donegal","Pupils in special national schools","Number","99"
"Pupils in National Schools","2010","Monaghan","All first level school programmes","Number","6855"
"Pupils in National Schools","2010","Monaghan","All mainstream national school programmes","Number","6740"
"Pupils in National Schools","2010","Monaghan","Pupils with special needs in mainstream national schools","Number","103"
"Pupils in National Schools","2010","Monaghan","Pupils in special national schools","Number","12"
"Pupils in National Schools","2011","All Counties","All first level school programmes","Number","509652"
"Pupils in National Schools","2011","All Counties","All mainstream national school programmes","Number","492742"
"Pupils in National Schools","2011","All Counties","Pupils with special needs in mainstream national schools","Number","9732"
"Pupils in National Schools","2011","All Counties","Pupils in special national schools","Number","7178"
"Pupils in National Schools","2011","Carlow","All first level school programmes","Number","7141"
"Pupils in National Schools","2011","Carlow","All mainstream national school programmes","Number","6849"
"Pupils in National Schools","2011","Carlow","Pupils with special needs in mainstream national schools","Number","140"
"Pupils in National Schools","2011","Carlow","Pupils in special national schools","Number","152"
"Pupils in National Schools","2011","Dublin City","All first level school programmes","Number","43275"
"Pupils in National Schools","2011","Dublin City","All mainstream national school programmes","Number","40690"
"Pupils in National Schools","2011","Dublin City","Pupils with special needs in mainstream national schools","Number","834"
"Pupils in National Schools","2011","Dublin City","Pupils in special national schools","Number","1751"
"Pupils in National Schools","2011","South Dublin","All first level school programmes","Number","31344"
"Pupils in National Schools","2011","South Dublin","All mainstream national school programmes","Number","30128"
"Pupils in National Schools","2011","South Dublin","Pupils with special needs in mainstream national schools","Number","809"
"Pupils in National Schools","2011","South Dublin","Pupils in special national schools","Number","407"
"Pupils in National Schools","2011","Fingal","All first level school programmes","Number","31489"
"Pupils in National Schools","2011","Fingal","All mainstream national school programmes","Number","31042"
"Pupils in National Schools","2011","Fingal","Pupils with special needs in mainstream national schools","Number","306"
"Pupils in National Schools","2011","Fingal","Pupils in special national schools","Number","141"
"Pupils in National Schools","2011","Dún Laoghaire-Rathdown","All first level school programmes","Number","16911"
"Pupils in National Schools","2011","Dún Laoghaire-Rathdown","All mainstream national school programmes","Number","16323"
"Pupils in National Schools","2011","Dún Laoghaire-Rathdown","Pupils with special needs in mainstream national schools","Number","129"
"Pupils in National Schools","2011","Dún Laoghaire-Rathdown","Pupils in special national schools","Number","459"
"Pupils in National Schools","2011","Kildare","All first level school programmes","Number","27158"
"Pupils in National Schools","2011","Kildare","All mainstream national school programmes","Number","26584"
"Pupils in National Schools","2011","Kildare","Pupils with special needs in mainstream national schools","Number","376"
"Pupils in National Schools","2011","Kildare","Pupils in special national schools","Number","198"
"Pupils in National Schools","2011","Kilkenny","All first level school programmes","Number","10471"
"Pupils in National Schools","2011","Kilkenny","All mainstream national school programmes","Number","10168"
"Pupils in National Schools","2011","Kilkenny","Pupils with special needs in mainstream national schools","Number","74"
"Pupils in National Schools","2011","Kilkenny","Pupils in special national schools","Number","229"
"Pupils in National Schools","2011","Laois","All first level school programmes","Number","9878"
"Pupils in National Schools","2011","Laois","All mainstream national school programmes","Number","9600"
"Pupils in National Schools","2011","Laois","Pupils with special needs in mainstream national schools","Number","180"
"Pupils in National Schools","2011","Laois","Pupils in special national schools","Number","98"
"Pupils in National Schools","2011","Longford","All first level school programmes","Number","4954"
"Pupils in National Schools","2011","Longford","All mainstream national school programmes","Number","4685"
"Pupils in National Schools","2011","Longford","Pupils with special needs in mainstream national schools","Number","241"
"Pupils in National Schools","2011","Longford","Pupils in special national schools","Number","28"
"Pupils in National Schools","2011","Louth","All first level school programmes","Number","15943"
"Pupils in National Schools","2011","Louth","All mainstream national school programmes","Number","15401"
"Pupils in National Schools","2011","Louth","Pupils with special needs in mainstream national schools","Number","265"
"Pupils in National Schools","2011","Louth","Pupils in special national schools","Number","277"
"Pupils in National Schools","2011","Meath","All first level school programmes","Number","23422"
"Pupils in National Schools","2011","Meath","All mainstream national school programmes","Number","22925"
"Pupils in National Schools","2011","Meath","Pupils with special needs in mainstream national schools","Number","291"
"Pupils in National Schools","2011","Meath","Pupils in special national schools","Number","206"
"Pupils in National Schools","2011","Offaly","All first level school programmes","Number","9505"
"Pupils in National Schools","2011","Offaly","All mainstream national school programmes","Number","9245"
"Pupils in National Schools","2011","Offaly","Pupils with special needs in mainstream national schools","Number","247"
"Pupils in National Schools","2011","Offaly","Pupils in special national schools","Number","13"
"Pupils in National Schools","2011","Westmeath","All first level school programmes","Number","10638"
"Pupils in National Schools","2011","Westmeath","All mainstream national school programmes","Number","10197"
"Pupils in National Schools","2011","Westmeath","Pupils with special needs in mainstream national schools","Number","308"
"Pupils in National Schools","2011","Westmeath","Pupils in special national schools","Number","133"
"Pupils in National Schools","2011","Wexford","All first level school programmes","Number","17751"
"Pupils in National Schools","2011","Wexford","All mainstream national school programmes","Number","16984"
"Pupils in National Schools","2011","Wexford","Pupils with special needs in mainstream national schools","Number","549"
"Pupils in National Schools","2011","Wexford","Pupils in special national schools","Number","218"
"Pupils in National Schools","2011","Wicklow","All first level school programmes","Number","15748"
"Pupils in National Schools","2011","Wicklow","All mainstream national school programmes","Number","15316"
"Pupils in National Schools","2011","Wicklow","Pupils with special needs in mainstream national schools","Number","219"
"Pupils in National Schools","2011","Wicklow","Pupils in special national schools","Number","213"
"Pupils in National Schools","2011","Clare","All first level school programmes","Number","13462"
"Pupils in National Schools","2011","Clare","All mainstream national school programmes","Number","13041"
"Pupils in National Schools","2011","Clare","Pupils with special needs in mainstream national schools","Number","298"
"Pupils in National Schools","2011","Clare","Pupils in special national schools","Number","123"
"Pupils in National Schools","2011","Cork City","All first level school programmes","Number","13904"
"Pupils in National Schools","2011","Cork City","All mainstream national school programmes","Number","13135"
"Pupils in National Schools","2011","Cork City","Pupils with special needs in mainstream national schools","Number","321"
"Pupils in National Schools","2011","Cork City","Pupils in special national schools","Number","448"
"Pupils in National Schools","2011","Cork County","All first level school programmes","Number","42904"
"Pupils in National Schools","2011","Cork County","All mainstream national school programmes","Number","42143"
"Pupils in National Schools","2011","Cork County","Pupils with special needs in mainstream national schools","Number","477"
"Pupils in National Schools","2011","Cork County","Pupils in special national schools","Number","284"
"Pupils in National Schools","2011","Kerry","All first level school programmes","Number","15513"
"Pupils in National Schools","2011","Kerry","All mainstream national school programmes","Number","14985"
"Pupils in National Schools","2011","Kerry","Pupils with special needs in mainstream national schools","Number","336"
"Pupils in National Schools","2011","Kerry","Pupils in special national schools","Number","192"
"Pupils in National Schools","2011","Limerick","All first level school programmes","Number",""
"Pupils in National Schools","2011","Limerick","All mainstream national school programmes","Number",""
"Pupils in National Schools","2011","Limerick","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2011","Limerick","Pupils in special national schools","Number",""
"Pupils in National Schools","2011","Limerick City","All first level school programmes","Number","7045"
"Pupils in National Schools","2011","Limerick City","All mainstream national school programmes","Number","6611"
"Pupils in National Schools","2011","Limerick City","Pupils with special needs in mainstream national schools","Number","122"
"Pupils in National Schools","2011","Limerick City","Pupils in special national schools","Number","312"
"Pupils in National Schools","2011","Limerick County","All first level school programmes","Number","14307"
"Pupils in National Schools","2011","Limerick County","All mainstream national school programmes","Number","13831"
"Pupils in National Schools","2011","Limerick County","Pupils with special needs in mainstream national schools","Number","394"
"Pupils in National Schools","2011","Limerick County","Pupils in special national schools","Number","82"
"Pupils in National Schools","2011","Tipperary","All first level school programmes","Number","18352"
"Pupils in National Schools","2011","Tipperary","All mainstream national school programmes","Number","17706"
"Pupils in National Schools","2011","Tipperary","Pupils with special needs in mainstream national schools","Number","340"
"Pupils in National Schools","2011","Tipperary","Pupils in special national schools","Number","306"
"Pupils in National Schools","2011","Waterford","All first level school programmes","Number",""
"Pupils in National Schools","2011","Waterford","All mainstream national school programmes","Number",""
"Pupils in National Schools","2011","Waterford","Pupils with special needs in mainstream national schools","Number",""
"Pupils in National Schools","2011","Waterford","Pupils in special national schools","Number",""
"Pupils in National Schools","2011","Waterford City","All first level school programmes","Number","6183"
"Pupils in National Schools","2011","Waterford City","All mainstream national school programmes","Number","5891"
"Pupils in National Schools","2011","Waterford City","Pupils with special needs in mainstream national schools","Number","139"
"Pupils in National Schools","2011","Waterford City","Pupils in special national schools","Number","153"
"Pupils in National Schools","2011","Waterford County","All first level school programmes","Number","7575"
"Pupils in National Schools","2011","Waterford County","All mainstream national school programmes","Number","7478"
"Pupils in National Schools","2011","Waterford County","Pupils with special needs in mainstream national schools","Number","46"
"Pupils in National Schools","2011","Waterford County","Pupils in special national schools","Number","51"
"Pupils in National Schools","2011","Galway City","All first level school programmes","Number","7045"
"Pupils in National Schools","2011","Galway City","All mainstream national school programmes","Number","6388"
"Pupils in National Schools","2011","Galway City","Pupils with special needs in mainstream national schools","Number","480"
"Pupils in National Schools","2011","Galway City","Pupils in special national schools","Number","177"
"Pupils in National Schools","2011","Galway County","All first level school programmes","Number","20608"
"Pupils in National Schools","2011","Galway County","All mainstream national school programmes","Number","20001"
"Pupils in National Schools","2011","Galway County","Pupils with special needs in mainstream national schools","Number","556"
"Pupils in National Schools","2011","Galway County","Pupils in special national schools","Number","51"
"Pupils in National Schools","2011","Leitrim","All first level school programmes","Number","3556"
"Pupils in National Schools","2011","Leitrim","All mainstream national school programmes","Number","3477"
"Pupils in National Schools","2011","Leitrim","Pupils with special needs in mainstream national schools","Number","79"
"Pupils in National Schools","2011","Leitrim","Pupils in special national schools","Number","0"
"Pupils in National Schools","2011","Mayo","All first level school programmes","Number","14470"
"Pupils in National Schools","2011","Mayo","All mainstream national school programmes","Number","13939"
"Pupils in National Schools","2011","Mayo","Pupils with special needs in mainstream national schools","Number","418"
"Pupils in National Schools","2011","Mayo","Pupils in special national schools","Number","113"
"Pupils in National Schools","2011","Roscommon","All first level school programmes","Number","7153"
"Pupils in National Schools","2011","Roscommon","All mainstream national school programmes","Number","7019"
"Pupils in National Schools","2011","Roscommon","Pupils with special needs in mainstream national schools","Number","91"
"Pupils in National Schools","2011","Roscommon","Pupils in special national schools","Number","43"
"Pupils in National Schools","2011","Sligo","All first level school programmes","Number","6967"
"Pupils in National Schools","2011","Sligo","All mainstream national school programmes","Number","6751"
"Pupils in National Schools","2011","Sligo","Pupils with special needs in mainstream national schools","Number","134"
"Pupils in National Schools","2011","Sligo","Pupils in special national schools","Number","82"
"Pupils in National Schools","2011","Cavan","All first level school programmes","Number","9163"
"Pupils in National Schools","2011","Cavan","All mainstream national school programmes","Number","8882"
"Pupils in National Schools","2011","Cavan","Pupils with special needs in mainstream national schools","Number","164"
"Pupils in National Schools","2011","Cavan","Pupils in special national schools","Number","117"
"Pupils in National Schools","2011","Donegal","All first level school programmes","Number","18886"
"Pupils in National Schools","2011","Donegal","All mainstream national school programmes","Number","18525"
