Statistic,Year,Type of Offence,UNIT,VALUE
Recorded Crime Offences Under Reservation,2007,Offences against government and its agents,Number,341
Recorded Crime Offences Under Reservation,2007,Organisation of crime and conspiracy to commit crime,Number,10
Recorded Crime Offences Under Reservation,2007,Perverting the course of justice,Number,192
Recorded Crime Offences Under Reservation,2007,"Offences while in custody, breach of court orders",Number,10371
Recorded Crime Offences Under Reservation,2008,Homicide offences,Number,113
Recorded Crime Offences Under Reservation,2008,Murder,Number,51
Recorded Crime Offences Under Reservation,2008,Manslaughter,Number,14
Recorded Crime Offences Under Reservation,2008,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2008,Dangerous driving leading to death,Number,48
Recorded Crime Offences Under Reservation,2008,Sexual offences,Number,1268
Recorded Crime Offences Under Reservation,2008,Rape of a male or female,Number,331
Recorded Crime Offences Under Reservation,2008,Defilement of a boy or girl less than 17 years old,Number,79
Recorded Crime Offences Under Reservation,2008,Sexual offence involving mentally impaired person,Number,7
Recorded Crime Offences Under Reservation,2008,Aggravated sexual assault,Number,12
Recorded Crime Offences Under Reservation,2008,Sexual assault (not aggravated),Number,771
Recorded Crime Offences Under Reservation,2008,Other sexual offences,Number,68
Recorded Crime Offences Under Reservation,2008,"Attempts/threats to murder, assaults, harassments and related offences",Number,19715
Recorded Crime Offences Under Reservation,2008,Murder-attempt,Number,11
Recorded Crime Offences Under Reservation,2008,Murder-threat,Number,205
Recorded Crime Offences Under Reservation,2008,Harassment and related offences,Number,3064
Recorded Crime Offences Under Reservation,2008,"Assault causing harm, poisoning",Number,3843
Recorded Crime Offences Under Reservation,2008,Other assault,Number,12592
Recorded Crime Offences Under Reservation,2008,Dangerous or negligent acts,Number,19224
Recorded Crime Offences Under Reservation,2008,Dangerous driving causing serious bodily harm,Number,18
Recorded Crime Offences Under Reservation,2008,Driving/in charge of a vehicle while over legal alcohol limit,Number,17559
Recorded Crime Offences Under Reservation,2008,Driving/in charge of a vehicle under the influence of drugs,Number,754
Recorded Crime Offences Under Reservation,2008,Endangerment with potential for serious harm/death,Number,51
Recorded Crime Offences Under Reservation,2008,"Abandoning a child, child neglect and cruelty",Number,544
Recorded Crime Offences Under Reservation,2008,Unseaworthy/dangerous use of boat or ship,Number,2
Recorded Crime Offences Under Reservation,2008,False alarm/interference with aircraft or air transport facilities,Number,41
Recorded Crime Offences Under Reservation,2008,Endangering traffic offences,Number,255
Recorded Crime Offences Under Reservation,2008,Kidnapping and related offences,Number,75
Recorded Crime Offences Under Reservation,2008,False imprisonment,Number,58
Recorded Crime Offences Under Reservation,2008,Abduction of person under 16 years of age,Number,13
Recorded Crime Offences Under Reservation,2008,Human trafficking offences,Number,4
Recorded Crime Offences Under Reservation,2008,"Robbery, extortion and hijacking offences",Number,2329
Recorded Crime Offences Under Reservation,2008,Robbery of an establishment or institution,Number,870
Recorded Crime Offences Under Reservation,2008,Robbery of cash or goods in transit,Number,27
Recorded Crime Offences Under Reservation,2008,Robbery from the person,Number,1293
Recorded Crime Offences Under Reservation,2008,Blackmail or extortion,Number,22
Recorded Crime Offences Under Reservation,2008,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,117
Recorded Crime Offences Under Reservation,2008,Burglary and related offences,Number,25277
Recorded Crime Offences Under Reservation,2008,Aggravated burglary,Number,328
Recorded Crime Offences Under Reservation,2008,Burglary (not aggravated),Number,24526
Recorded Crime Offences Under Reservation,2008,"Possession of an article (with intent to burgle, steal, demand)",Number,423
Recorded Crime Offences Under Reservation,2008,Theft and related offences,Number,76808
Recorded Crime Offences Under Reservation,2008,Theft/taking of vehicle and related offences,Number,14459
Recorded Crime Offences Under Reservation,2008,Theft from person,Number,3249
Recorded Crime Offences Under Reservation,2008,Theft from shop,Number,20027
Recorded Crime Offences Under Reservation,2008,"Other thefts, handling stolen property",Number,39073
Recorded Crime Offences Under Reservation,2008,"Fraud, deception and related offences",Number,5749
Recorded Crime Offences Under Reservation,2008,Controlled drug offences,Number,23354
Recorded Crime Offences Under Reservation,2008,Importation of drugs,Number,67
Recorded Crime Offences Under Reservation,2008,Cultivation or manufacture of drugs,Number,216
Recorded Crime Offences Under Reservation,2008,Possession of drugs for sale or supply,Number,4265
Recorded Crime Offences Under Reservation,2008,Possession of drugs for personal use,Number,18075
Recorded Crime Offences Under Reservation,2008,Other drug offences,Number,731
Recorded Crime Offences Under Reservation,2008,Weapons and Explosives Offences,Number,4029
Recorded Crime Offences Under Reservation,2008,"Explosives, chemical weapons offences",Number,47
Recorded Crime Offences Under Reservation,2008,Discharging a firearm,Number,223
Recorded Crime Offences Under Reservation,2008,Possession of a firearm,Number,453
Recorded Crime Offences Under Reservation,2008,Offensive weapons offences (n.e.c.),Number,2973
Recorded Crime Offences Under Reservation,2008,Fireworks offences,Number,333
Recorded Crime Offences Under Reservation,2008,Damage to property and to the environment,Number,44342
Recorded Crime Offences Under Reservation,2008,Arson,Number,2300
Recorded Crime Offences Under Reservation,2008,Criminal damage (not arson),Number,41738
Recorded Crime Offences Under Reservation,2008,Litter offences,Number,304
Recorded Crime Offences Under Reservation,2008,Public order and other social code offences,Number,62076
Recorded Crime Offences Under Reservation,2008,Disorderly conduct,Number,53585
Recorded Crime Offences Under Reservation,2008,Trespass offences,Number,3725
Recorded Crime Offences Under Reservation,2008,Liquor licensing offences,Number,3850
Recorded Crime Offences Under Reservation,2008,Prostitution offences,Number,131
Recorded Crime Offences Under Reservation,2008,"Regulated betting/money, collection/trading offences",Number,430
Recorded Crime Offences Under Reservation,2008,Social code offences (n.e.c.),Number,355
Recorded Crime Offences Under Reservation,2008,"Offences against government, justice procedures and organisation of crime",Number,13186
Recorded Crime Offences Under Reservation,2008,Offences against government and its agents,Number,341
Recorded Crime Offences Under Reservation,2008,Organisation of crime and conspiracy to commit crime,Number,11
Recorded Crime Offences Under Reservation,2008,Perverting the course of justice,Number,174
Recorded Crime Offences Under Reservation,2008,"Offences while in custody, breach of court orders",Number,12660
Recorded Crime Offences Under Reservation,2009,Homicide offences,Number,99
Recorded Crime Offences Under Reservation,2009,Murder,Number,53
Recorded Crime Offences Under Reservation,2009,Manslaughter,Number,10
Recorded Crime Offences Under Reservation,2009,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2009,Dangerous driving leading to death,Number,36
Recorded Crime Offences Under Reservation,2009,Sexual offences,Number,1543
Recorded Crime Offences Under Reservation,2009,Rape of a male or female,Number,362
Recorded Crime Offences Under Reservation,2009,Defilement of a boy or girl less than 17 years old,Number,109
Recorded Crime Offences Under Reservation,2009,Sexual offence involving mentally impaired person,Number,8
Recorded Crime Offences Under Reservation,2009,Aggravated sexual assault,Number,10
Recorded Crime Offences Under Reservation,2009,Sexual assault (not aggravated),Number,955
Recorded Crime Offences Under Reservation,2009,Other sexual offences,Number,99
Recorded Crime Offences Under Reservation,2009,"Attempts/threats to murder, assaults, harassments and related offences",Number,18915
Recorded Crime Offences Under Reservation,2009,Murder-attempt,Number,7
Recorded Crime Offences Under Reservation,2009,Murder-threat,Number,227
Recorded Crime Offences Under Reservation,2009,Harassment and related offences,Number,2809
Recorded Crime Offences Under Reservation,2009,"Assault causing harm, poisoning",Number,3718
Recorded Crime Offences Under Reservation,2009,Other assault,Number,12154
Recorded Crime Offences Under Reservation,2009,Dangerous or negligent acts,Number,15031
Recorded Crime Offences Under Reservation,2009,Dangerous driving causing serious bodily harm,Number,17
Recorded Crime Offences Under Reservation,2009,Driving/in charge of a vehicle while over legal alcohol limit,Number,13295
Recorded Crime Offences Under Reservation,2009,Driving/in charge of a vehicle under the influence of drugs,Number,873
Recorded Crime Offences Under Reservation,2009,Endangerment with potential for serious harm/death,Number,65
Recorded Crime Offences Under Reservation,2009,"Abandoning a child, child neglect and cruelty",Number,506
Recorded Crime Offences Under Reservation,2009,Unseaworthy/dangerous use of boat or ship,Number,3
Recorded Crime Offences Under Reservation,2009,False alarm/interference with aircraft or air transport facilities,Number,21
Recorded Crime Offences Under Reservation,2009,Endangering traffic offences,Number,251
Recorded Crime Offences Under Reservation,2009,Kidnapping and related offences,Number,142
Recorded Crime Offences Under Reservation,2009,False imprisonment,Number,84
Recorded Crime Offences Under Reservation,2009,Abduction of person under 16 years of age,Number,13
Recorded Crime Offences Under Reservation,2009,Human trafficking offences,Number,45
Recorded Crime Offences Under Reservation,2009,"Robbery, extortion and hijacking offences",Number,2523
Recorded Crime Offences Under Reservation,2009,Robbery of an establishment or institution,Number,1034
Recorded Crime Offences Under Reservation,2009,Robbery of cash or goods in transit,Number,24
Recorded Crime Offences Under Reservation,2009,Robbery from the person,Number,1336
Recorded Crime Offences Under Reservation,2009,Blackmail or extortion,Number,25
Recorded Crime Offences Under Reservation,2009,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,104
Recorded Crime Offences Under Reservation,2009,Burglary and related offences,Number,27519
Recorded Crime Offences Under Reservation,2009,Aggravated burglary,Number,370
Recorded Crime Offences Under Reservation,2009,Burglary (not aggravated),Number,26717
Recorded Crime Offences Under Reservation,2009,"Possession of an article (with intent to burgle, steal, demand)",Number,432
Recorded Crime Offences Under Reservation,2009,Theft and related offences,Number,76919
Recorded Crime Offences Under Reservation,2009,Theft/taking of vehicle and related offences,Number,13314
Recorded Crime Offences Under Reservation,2009,Theft from person,Number,2635
Recorded Crime Offences Under Reservation,2009,Theft from shop,Number,20552
Recorded Crime Offences Under Reservation,2009,"Other thefts, handling stolen property",Number,40418
Recorded Crime Offences Under Reservation,2009,"Fraud, deception and related offences",Number,5224
Recorded Crime Offences Under Reservation,2009,Controlled drug offences,Number,21865
Recorded Crime Offences Under Reservation,2009,Importation of drugs,Number,46
Recorded Crime Offences Under Reservation,2009,Cultivation or manufacture of drugs,Number,271
Recorded Crime Offences Under Reservation,2009,Possession of drugs for sale or supply,Number,3965
Recorded Crime Offences Under Reservation,2009,Possession of drugs for personal use,Number,16759
Recorded Crime Offences Under Reservation,2009,Other drug offences,Number,824
Recorded Crime Offences Under Reservation,2009,Weapons and Explosives Offences,Number,4091
Recorded Crime Offences Under Reservation,2009,"Explosives, chemical weapons offences",Number,48
Recorded Crime Offences Under Reservation,2009,Discharging a firearm,Number,233
Recorded Crime Offences Under Reservation,2009,Possession of a firearm,Number,402
Recorded Crime Offences Under Reservation,2009,Offensive weapons offences (n.e.c.),Number,2979
Recorded Crime Offences Under Reservation,2009,Fireworks offences,Number,429
Recorded Crime Offences Under Reservation,2009,Damage to property and to the environment,Number,41905
Recorded Crime Offences Under Reservation,2009,Arson,Number,3009
Recorded Crime Offences Under Reservation,2009,Criminal damage (not arson),Number,38649
Recorded Crime Offences Under Reservation,2009,Litter offences,Number,247
Recorded Crime Offences Under Reservation,2009,Public order and other social code offences,Number,57479
Recorded Crime Offences Under Reservation,2009,Disorderly conduct,Number,49543
Recorded Crime Offences Under Reservation,2009,Trespass offences,Number,3835
Recorded Crime Offences Under Reservation,2009,Liquor licensing offences,Number,3265
Recorded Crime Offences Under Reservation,2009,Prostitution offences,Number,94
Recorded Crime Offences Under Reservation,2009,"Regulated betting/money, collection/trading offences",Number,458
Recorded Crime Offences Under Reservation,2009,Social code offences (n.e.c.),Number,284
Recorded Crime Offences Under Reservation,2009,"Offences against government, justice procedures and organisation of crime",Number,11748
Recorded Crime Offences Under Reservation,2009,Offences against government and its agents,Number,531
Recorded Crime Offences Under Reservation,2009,Organisation of crime and conspiracy to commit crime,Number,5
Recorded Crime Offences Under Reservation,2009,Perverting the course of justice,Number,146
Recorded Crime Offences Under Reservation,2009,"Offences while in custody, breach of court orders",Number,11066
Recorded Crime Offences Under Reservation,2010,Homicide offences,Number,109
Recorded Crime Offences Under Reservation,2010,Murder,Number,54
Recorded Crime Offences Under Reservation,2010,Manslaughter,Number,8
Recorded Crime Offences Under Reservation,2010,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2010,Dangerous driving leading to death,Number,47
Recorded Crime Offences Under Reservation,2010,Sexual offences,Number,2304
Recorded Crime Offences Under Reservation,2010,Rape of a male or female,Number,469
Recorded Crime Offences Under Reservation,2010,Defilement of a boy or girl less than 17 years old,Number,157
Recorded Crime Offences Under Reservation,2010,Sexual offence involving mentally impaired person,Number,15
Recorded Crime Offences Under Reservation,2010,Aggravated sexual assault,Number,7
Recorded Crime Offences Under Reservation,2010,Sexual assault (not aggravated),Number,1485
Recorded Crime Offences Under Reservation,2010,Other sexual offences,Number,171
Recorded Crime Offences Under Reservation,2010,"Attempts/threats to murder, assaults, harassments and related offences",Number,18231
Recorded Crime Offences Under Reservation,2010,Murder-attempt,Number,8
Recorded Crime Offences Under Reservation,2010,Murder-threat,Number,367
Recorded Crime Offences Under Reservation,2010,Harassment and related offences,Number,2595
Recorded Crime Offences Under Reservation,2010,"Assault causing harm, poisoning",Number,3680
Recorded Crime Offences Under Reservation,2010,Other assault,Number,11581
Recorded Crime Offences Under Reservation,2010,Dangerous or negligent acts,Number,11698
Recorded Crime Offences Under Reservation,2010,Dangerous driving causing serious bodily harm,Number,19
Recorded Crime Offences Under Reservation,2010,Driving/in charge of a vehicle while over legal alcohol limit,Number,10311
Recorded Crime Offences Under Reservation,2010,Driving/in charge of a vehicle under the influence of drugs,Number,577
Recorded Crime Offences Under Reservation,2010,Endangerment with potential for serious harm/death,Number,56
Recorded Crime Offences Under Reservation,2010,"Abandoning a child, child neglect and cruelty",Number,434
Recorded Crime Offences Under Reservation,2010,Unseaworthy/dangerous use of boat or ship,Number,10
Recorded Crime Offences Under Reservation,2010,False alarm/interference with aircraft or air transport facilities,Number,7
Recorded Crime Offences Under Reservation,2010,Endangering traffic offences,Number,284
Recorded Crime Offences Under Reservation,2010,Kidnapping and related offences,Number,132
Recorded Crime Offences Under Reservation,2010,False imprisonment,Number,81
Recorded Crime Offences Under Reservation,2010,Abduction of person under 16 years of age,Number,22
Recorded Crime Offences Under Reservation,2010,Human trafficking offences,Number,29
Recorded Crime Offences Under Reservation,2010,"Robbery, extortion and hijacking offences",Number,3237
Recorded Crime Offences Under Reservation,2010,Robbery of an establishment or institution,Number,1088
Recorded Crime Offences Under Reservation,2010,Robbery of cash or goods in transit,Number,21
Recorded Crime Offences Under Reservation,2010,Robbery from the person,Number,1983
Recorded Crime Offences Under Reservation,2010,Blackmail or extortion,Number,24
Recorded Crime Offences Under Reservation,2010,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,121
Recorded Crime Offences Under Reservation,2010,Burglary and related offences,Number,26113
Recorded Crime Offences Under Reservation,2010,Aggravated burglary,Number,332
Recorded Crime Offences Under Reservation,2010,Burglary (not aggravated),Number,25272
Recorded Crime Offences Under Reservation,2010,"Possession of an article (with intent to burgle, steal, demand)",Number,509
Recorded Crime Offences Under Reservation,2010,Theft and related offences,Number,76645
Recorded Crime Offences Under Reservation,2010,Theft/taking of vehicle and related offences,Number,11619
Recorded Crime Offences Under Reservation,2010,Theft from person,Number,2822
Recorded Crime Offences Under Reservation,2010,Theft from shop,Number,20775
Recorded Crime Offences Under Reservation,2010,"Other thefts, handling stolen property",Number,41429
Recorded Crime Offences Under Reservation,2010,"Fraud, deception and related offences",Number,5506
Recorded Crime Offences Under Reservation,2010,Controlled drug offences,Number,19787
Recorded Crime Offences Under Reservation,2010,Importation of drugs,Number,29
Recorded Crime Offences Under Reservation,2010,Cultivation or manufacture of drugs,Number,532
Recorded Crime Offences Under Reservation,2010,Possession of drugs for sale or supply,Number,4097
Recorded Crime Offences Under Reservation,2010,Possession of drugs for personal use,Number,14381
Recorded Crime Offences Under Reservation,2010,Other drug offences,Number,748
Recorded Crime Offences Under Reservation,2010,Weapons and Explosives Offences,Number,4116
Recorded Crime Offences Under Reservation,2010,"Explosives, chemical weapons offences",Number,42
Recorded Crime Offences Under Reservation,2010,Discharging a firearm,Number,179
Recorded Crime Offences Under Reservation,2010,Possession of a firearm,Number,407
Recorded Crime Offences Under Reservation,2010,Offensive weapons offences (n.e.c.),Number,3027
Recorded Crime Offences Under Reservation,2010,Fireworks offences,Number,461
Recorded Crime Offences Under Reservation,2010,Damage to property and to the environment,Number,38799
Recorded Crime Offences Under Reservation,2010,Arson,Number,2573
Recorded Crime Offences Under Reservation,2010,Criminal damage (not arson),Number,35989
Recorded Crime Offences Under Reservation,2010,Litter offences,Number,237
Recorded Crime Offences Under Reservation,2010,Public order and other social code offences,Number,54850
Recorded Crime Offences Under Reservation,2010,Disorderly conduct,Number,47294
Recorded Crime Offences Under Reservation,2010,Trespass offences,Number,3810
Recorded Crime Offences Under Reservation,2010,Liquor licensing offences,Number,2762
Recorded Crime Offences Under Reservation,2010,Prostitution offences,Number,184
Recorded Crime Offences Under Reservation,2010,"Regulated betting/money, collection/trading offences",Number,423
Recorded Crime Offences Under Reservation,2010,Social code offences (n.e.c.),Number,377
Recorded Crime Offences Under Reservation,2010,"Offences against government, justice procedures and organisation of crime",Number,11190
Recorded Crime Offences Under Reservation,2010,Offences against government and its agents,Number,335
Recorded Crime Offences Under Reservation,2010,Organisation of crime and conspiracy to commit crime,Number,18
Recorded Crime Offences Under Reservation,2010,Perverting the course of justice,Number,99
Recorded Crime Offences Under Reservation,2010,"Offences while in custody, breach of court orders",Number,10738
Recorded Crime Offences Under Reservation,2011,Homicide offences,Number,79
Recorded Crime Offences Under Reservation,2011,Murder,Number,42
Recorded Crime Offences Under Reservation,2011,Manslaughter,Number,10
Recorded Crime Offences Under Reservation,2011,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2011,Dangerous driving leading to death,Number,27
Recorded Crime Offences Under Reservation,2011,Sexual offences,Number,1958
Recorded Crime Offences Under Reservation,2011,Rape of a male or female,Number,447
Recorded Crime Offences Under Reservation,2011,Defilement of a boy or girl less than 17 years old,Number,144
Recorded Crime Offences Under Reservation,2011,Sexual offence involving mentally impaired person,Number,14
Recorded Crime Offences Under Reservation,2011,Aggravated sexual assault,Number,9
Recorded Crime Offences Under Reservation,2011,Sexual assault (not aggravated),Number,1193
Recorded Crime Offences Under Reservation,2011,Other sexual offences,Number,151
Recorded Crime Offences Under Reservation,2011,"Attempts/threats to murder, assaults, harassments and related offences",Number,17165
Recorded Crime Offences Under Reservation,2011,Murder-attempt,Number,8
Recorded Crime Offences Under Reservation,2011,Murder-threat,Number,393
Recorded Crime Offences Under Reservation,2011,Harassment and related offences,Number,2087
Recorded Crime Offences Under Reservation,2011,"Assault causing harm, poisoning",Number,3542
Recorded Crime Offences Under Reservation,2011,Other assault,Number,11135
Recorded Crime Offences Under Reservation,2011,Dangerous or negligent acts,Number,9688
Recorded Crime Offences Under Reservation,2011,Dangerous driving causing serious bodily harm,Number,13
Recorded Crime Offences Under Reservation,2011,Driving/in charge of a vehicle while over legal alcohol limit,Number,8743
Recorded Crime Offences Under Reservation,2011,Driving/in charge of a vehicle under the influence of drugs,Number,421
Recorded Crime Offences Under Reservation,2011,Endangerment with potential for serious harm/death,Number,101
Recorded Crime Offences Under Reservation,2011,"Abandoning a child, child neglect and cruelty",Number,197
Recorded Crime Offences Under Reservation,2011,Unseaworthy/dangerous use of boat or ship,Number,3
Recorded Crime Offences Under Reservation,2011,False alarm/interference with aircraft or air transport facilities,Number,5
Recorded Crime Offences Under Reservation,2011,Endangering traffic offences,Number,205
Recorded Crime Offences Under Reservation,2011,Kidnapping and related offences,Number,115
Recorded Crime Offences Under Reservation,2011,False imprisonment,Number,77
Recorded Crime Offences Under Reservation,2011,Abduction of person under 16 years of age,Number,13
Recorded Crime Offences Under Reservation,2011,Human trafficking offences,Number,25
Recorded Crime Offences Under Reservation,2011,"Robbery, extortion and hijacking offences",Number,2953
Recorded Crime Offences Under Reservation,2011,Robbery of an establishment or institution,Number,1075
Recorded Crime Offences Under Reservation,2011,Robbery of cash or goods in transit,Number,42
Recorded Crime Offences Under Reservation,2011,Robbery from the person,Number,1712
Recorded Crime Offences Under Reservation,2011,Blackmail or extortion,Number,24
Recorded Crime Offences Under Reservation,2011,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,100
Recorded Crime Offences Under Reservation,2011,Burglary and related offences,Number,28205
Recorded Crime Offences Under Reservation,2011,Aggravated burglary,Number,334
Recorded Crime Offences Under Reservation,2011,Burglary (not aggravated),Number,27241
Recorded Crime Offences Under Reservation,2011,"Possession of an article (with intent to burgle, steal, demand)",Number,630
Recorded Crime Offences Under Reservation,2011,Theft and related offences,Number,76661
Recorded Crime Offences Under Reservation,2011,Theft/taking of vehicle and related offences,Number,10483
Recorded Crime Offences Under Reservation,2011,Theft from person,Number,3643
Recorded Crime Offences Under Reservation,2011,Theft from shop,Number,19915
Recorded Crime Offences Under Reservation,2011,"Other thefts, handling stolen property",Number,42620
Recorded Crime Offences Under Reservation,2011,"Fraud, deception and related offences",Number,5496
Recorded Crime Offences Under Reservation,2011,Controlled drug offences,Number,17568
Recorded Crime Offences Under Reservation,2011,Importation of drugs,Number,40
Recorded Crime Offences Under Reservation,2011,Cultivation or manufacture of drugs,Number,579
Recorded Crime Offences Under Reservation,2011,Possession of drugs for sale or supply,Number,3816
Recorded Crime Offences Under Reservation,2011,Possession of drugs for personal use,Number,12603
Recorded Crime Offences Under Reservation,2011,Other drug offences,Number,530
Recorded Crime Offences Under Reservation,2011,Weapons and Explosives Offences,Number,3484
Recorded Crime Offences Under Reservation,2011,"Explosives, chemical weapons offences",Number,80
Recorded Crime Offences Under Reservation,2011,Discharging a firearm,Number,163
Recorded Crime Offences Under Reservation,2011,Possession of a firearm,Number,283
Recorded Crime Offences Under Reservation,2011,Offensive weapons offences (n.e.c.),Number,2614
Recorded Crime Offences Under Reservation,2011,Fireworks offences,Number,344
Recorded Crime Offences Under Reservation,2011,Damage to property and to the environment,Number,35136
Recorded Crime Offences Under Reservation,2011,Arson,Number,2303
Recorded Crime Offences Under Reservation,2011,Criminal damage (not arson),Number,32600
Recorded Crime Offences Under Reservation,2011,Litter offences,Number,233
Recorded Crime Offences Under Reservation,2011,Public order and other social code offences,Number,48948
Recorded Crime Offences Under Reservation,2011,Disorderly conduct,Number,42077
Recorded Crime Offences Under Reservation,2011,Trespass offences,Number,3551
Recorded Crime Offences Under Reservation,2011,Liquor licensing offences,Number,2310
Recorded Crime Offences Under Reservation,2011,Prostitution offences,Number,218
Recorded Crime Offences Under Reservation,2011,"Regulated betting/money, collection/trading offences",Number,297
Recorded Crime Offences Under Reservation,2011,Social code offences (n.e.c.),Number,495
Recorded Crime Offences Under Reservation,2011,"Offences against government, justice procedures and organisation of crime",Number,10015
Recorded Crime Offences Under Reservation,2011,Offences against government and its agents,Number,448
Recorded Crime Offences Under Reservation,2011,Organisation of crime and conspiracy to commit crime,Number,22
Recorded Crime Offences Under Reservation,2011,Perverting the course of justice,Number,89
Recorded Crime Offences Under Reservation,2011,"Offences while in custody, breach of court orders",Number,9456
Recorded Crime Offences Under Reservation,2012,Homicide offences,Number,88
Recorded Crime Offences Under Reservation,2012,Murder,Number,51
Recorded Crime Offences Under Reservation,2012,Manslaughter,Number,8
Recorded Crime Offences Under Reservation,2012,Infanticide,Number,0
Recorded Crime Offences Under Reservation,2012,Dangerous driving leading to death,Number,29
Recorded Crime Offences Under Reservation,2012,Sexual offences,Number,1976
Recorded Crime Offences Under Reservation,2012,Rape of a male or female,Number,457
Recorded Crime Offences Under Reservation,2012,Defilement of a boy or girl less than 17 years old,Number,129
Recorded Crime Offences Under Reservation,2012,Sexual offence involving mentally impaired person,Number,24
Recorded Crime Offences Under Reservation,2012,Aggravated sexual assault,Number,7
Recorded Crime Offences Under Reservation,2012,Sexual assault (not aggravated),Number,1218
Recorded Crime Offences Under Reservation,2012,Other sexual offences,Number,141
Recorded Crime Offences Under Reservation,2012,"Attempts/threats to murder, assaults, harassments and related offences",Number,15706
Recorded Crime Offences Under Reservation,2012,Murder-attempt,Number,9
Recorded Crime Offences Under Reservation,2012,Murder-threat,Number,268
Recorded Crime Offences Under Reservation,2012,Harassment and related offences,Number,1920
Recorded Crime Offences Under Reservation,2012,"Assault causing harm, poisoning",Number,3213
Recorded Crime Offences Under Reservation,2012,Other assault,Number,10296
Recorded Crime Offences Under Reservation,2012,Dangerous or negligent acts,Number,8843
Recorded Crime Offences Under Reservation,2012,Dangerous driving causing serious bodily harm,Number,7
Recorded Crime Offences Under Reservation,2012,Driving/in charge of a vehicle while over legal alcohol limit,Number,8044
Recorded Crime Offences Under Reservation,2012,Driving/in charge of a vehicle under the influence of drugs,Number,276
Recorded Crime Offences Under Reservation,2012,Endangerment with potential for serious harm/death,Number,68
Recorded Crime Offences Under Reservation,2012,"Abandoning a child, child neglect and cruelty",Number,229
Recorded Crime Offences Under Reservation,2012,Unseaworthy/dangerous use of boat or ship,Number,4
Recorded Crime Offences Under Reservation,2012,False alarm/interference with aircraft or air transport facilities,Number,8
Recorded Crime Offences Under Reservation,2012,Endangering traffic offences,Number,207
Recorded Crime Offences Under Reservation,2012,Kidnapping and related offences,Number,97
Recorded Crime Offences Under Reservation,2012,False imprisonment,Number,65
Recorded Crime Offences Under Reservation,2012,Abduction of person under 16 years of age,Number,16
Recorded Crime Offences Under Reservation,2012,Human trafficking offences,Number,16
Recorded Crime Offences Under Reservation,2012,"Robbery, extortion and hijacking offences",Number,2812
Recorded Crime Offences Under Reservation,2012,Robbery of an establishment or institution,Number,1014
Recorded Crime Offences Under Reservation,2012,Robbery of cash or goods in transit,Number,49
Recorded Crime Offences Under Reservation,2012,Robbery from the person,Number,1614
Recorded Crime Offences Under Reservation,2012,Blackmail or extortion,Number,38
Recorded Crime Offences Under Reservation,2012,"Carjacking, hijacking/unlawful seizure of aircraft/vessel",Number,97
Recorded Crime Offences Under Reservation,2012,Burglary and related offences,Number,28467
Recorded Crime Offences Under Reservation,2012,Aggravated burglary,Number,282
Recorded Crime Offences Under Reservation,2012,Burglary (not aggravated),Number,27437
Recorded Crime Offences Under Reservation,2012,"Possession of an article (with intent to burgle, steal, demand)",Number,748
Recorded Crime Offences Under Reservation,2012,Theft and related offences,Number,76116
Recorded Crime Offences Under Reservation,2012,Theft/taking of vehicle and related offences,Number,8479
Recorded Crime Offences Under Reservation,2012,Theft from person,Number,5013
Recorded Crime Offences Under Reservation,2012,Theft from shop,Number,19552
Recorded Crime Offences Under Reservation,2012,"Other thefts, handling stolen property",Number,43072
Recorded Crime Offences Under Reservation,2012,"Fraud, deception and related offences",Number,5708
Recorded Crime Offences Under Reservation,2012,Controlled drug offences,Number,16375
Recorded Crime Offences Under Reservation,2012,Importation of drugs,Number,30
Recorded Crime Offences Under Reservation,2012,Cultivation or manufacture of drugs,Number,513
Recorded Crime Offences Under Reservation,2012,Possession of drugs for sale or supply,Number,3457
Recorded Crime Offences Under Reservation,2012,Possession of drugs for personal use,Number,11794
Recorded Crime Offences Under Reservation,2012,Other drug offences,Number,581
Recorded Crime Offences Under Reservation,2012,Weapons and Explosives Offences,Number,3042
Recorded Crime Offences Under Reservation,2012,"Explosives, chemical weapons offences",Number,90
Recorded Crime Offences Under Reservation,2012,Discharging a firearm,Number,143
Recorded Crime Offences Under Reservation,2012,Possession of a firearm,Number,246
Recorded Crime Offences Under Reservation,2012,Offensive weapons offences (n.e.c.),Number,2295
Recorded Crime Offences Under Reservation,2012,Fireworks offences,Number,268
Recorded Crime Offences Under Reservation,2012,Damage to property and to the environment,Number,32125
Recorded Crime Offences Under Reservation,2012,Arson,Number,2118
Recorded Crime Offences Under Reservation,2012,Criminal damage (not arson),Number,29719
Recorded Crime Offences Under Reservation,2012,Litter offences,Number,288
Recorded Crime Offences Under Reservation,2012,Public order and other social code offences,Number,43785
Recorded Crime Offences Under Reservation,2012,Disorderly conduct,Number,37320
Recorded Crime Offences Under Reservation,2012,Trespass offences,Number,3320
Recorded Crime Offences Under Reservation,2012,Liquor licensing offences,Number,1902
Recorded Crime Offences Under Reservation,2012,Prostitution offences,Number,142
